	metab	Spearman_bulk	Spearman_matched	p_bulk	p_matched	q_bulk	q_matched	hmdb	metab_ids
413	methionylalanine	0.058695354962449944	0.15935115809372097	0.5783694282024974	0.13136065727621704	0.8716271664460172	0.5205774195761195	HMDB28966	HMDB28966
414	3-ethylphenylsulfate	-0.04108386645974822	0.044628917637400074	0.5829166076498108	0.5692242318999224	0.873934565458029	0.8655512698837153	HMDB62721	HMDB62721
415	phenylalanylmethionine	-0.05798825049125585	0.003482085199115171	0.582963360837073	0.9738676656261949	0.873934565458029	0.994390064894175	HMDB29001	HMDB29001
416	asparaginylvaline	-0.04187343661192386	-0.039582822887270004	0.5865869372061743	0.6192196663814797	0.8778294025323167	0.8923434922938496	HMDB28744	HMDB28744
417	isoleucylvaline	0.040045189988399864	-0.009602453943402435	0.5924872613490193	0.9025736356886438	0.8821202067920559	0.9863011736891106	HMDB28920	HMDB28920
418	thromboxane B2	-0.061127118647509304	-0.11765502584093487	0.5925456996558787	0.301761005941613	0.8821202067920559	0.7317490682323533	HMDB03252	HMDB03252
419	isoleucylserine	0.05952694225684579	0.09895655271289779	0.6022857674779156	0.385581517905505	0.8875029490188231	0.7946188099286162	HMDB28916	HMDB28916
420	3-methoxytyramine sulfate	-0.038930604838952054	-0.04922275723479497	0.6028361101801454	0.5301010610020407	0.8875029490188231	0.8490672187334626	HMDB00022	HMDB00022
421	ibuprofen	0.040059568758016695	0.027888798107825324	0.6029147783050908	0.7262856830798059	0.8875029490188231	0.9435848390372475	HMDB01925	HMDB01925
422	theophylline	0.03886807685937854	-0.03858253141202286	0.6034190611319569	0.6227072235715071	0.8875029490188231	0.8928599386552932	HMDB01889	HMDB01889
423	1-palmitoleoyl-GPC (16:1)*	-0.038442895393312	0.020707132276723654	0.6073896919496218	0.7917844489586858	0.8898763002505062	0.9479265570750142	HMDB10383	HMDB10383
424	folate	0.18519929937179805	0.43697479297663117	0.6084881548192262	0.20667987308962538	0.8898763002505062	0.6270443885028397	HMDB00121	HMDB00121
425	trigonelline (N'-methylnicotinate)	-0.03800345371240421	0.021475649923616152	0.6115056003267468	0.7842428332415087	0.8898763002505062	0.9479265570750142	HMDB00875	HMDB00875
426	valylalanine	-0.05355160060516523	0.10651666863362338	0.612161838157688	0.3149352943058345	0.8898763002505062	0.7365699779393288	HMDB29120	HMDB29120
427	glycoursodeoxycholate	-0.037917750168426585	0.013694074028600126	0.6123097439807805	0.8614140034708798	0.8898763002505062	0.9685689066357834	HMDB00708	HMDB00708
428	1-methyl-4-imidazoleacetate	-0.05721913489880151	-0.026002596904317124	0.6164561480957302	0.8200576988933908	0.8942343948909315	0.9606376625356166	HMDB02820	HMDB02820
429	3-methylhistidine	-0.037376389761595845	0.03386297617631544	0.6173999233014897	0.6658905212124254	0.8942343948909315	0.9074377928662857	HMDB00479	HMDB00479
430	1-docosahexaenoyl-GPE (22:6)*	0.03726575000384442	0.11227052049220129	0.6184424787096161	0.15108186288349074	0.8942343948909315	0.5366227162998676	HMDB11496	HMDB11496
